X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13604142.91,4566078.801,128,PG&E,,CEC,SUBSTATION,307001,Sobrante,230,94563,CA,Contra Costa County,Orinda,-122.2080951,37.90545805,
-13499562.3,4755407.919,129,PG&E,,CEC,SUBSTATION,309979,Narrows,60,95977,CA,Nevada County,Unincorporated,-121.2686315,39.23512867,
-13587863.77,4582201.252,130,PG&E,,CEC,SUBSTATION,309103,Tidewater,230,94553,CA,Contra Costa County,Unincorporated,-122.061857,38.0196442,
-13607085.88,4586973.295,131,PG&E,,CEC,SUBSTATION,308410,Unocal,,94525,CA,Contra Costa County,Unincorporated,-122.2345322,38.05340781,
-13592455.03,4583516.992,132,PG&E,,CEC,SUBSTATION,308825,Urich,60,94553,CA,Contra Costa County,Martinez,-122.103101,38.028955,
-13611994.18,4574642.785,133,PG&E,,CEC,SUBSTATION,301579,Valley View,115,94803,CA,Contra Costa County,Unincorporated,-122.2786242,37.96613398,
-13576633.44,4582925.62,134,PG&E,,CEC,SUBSTATION,300160,Willow Pass,115,94565,CA,Contra Costa County,Unincorporated,-121.9609733,38.02477032,
-13826759.31,5127045.417,135,PCORP,,CEC,SUBSTATION,203296,Belmont,69,95531,CA,Del Norte County,Unincorporated,-124.2078921,41.77306065,
-13819098.35,5141176.393,136,PCORP,,CEC,SUBSTATION,203292,Del Norte,115,95531,CA,Del Norte County,Unincorporated,-124.1390726,41.86766181,
-13799915.63,5138275.953,137,PCORP,,CEC,SUBSTATION,203293,Gasquet,115,95543,CA,Del Norte County,Unincorporated,-123.9667513,41.84825595,
-13820090.6,5138805.119,138,PCORP,,CEC,SUBSTATION,203291,Lake Earl,,95531,CA,Del Norte County,Crescent City,-124.1479862,41.85179685,
-13814462.15,5121052.799,139,PCORP,,CEC,SUBSTATION,203301,Miller Redwood,69,95548,CA,Del Norte County,Unincorporated,-124.0974249,41.73290031,
-13825789.53,5126000.771,140,PCORP,,CEC,SUBSTATION,203298,Northcrest,69,95531,CA,Del Norte County,Crescent City,-124.1991805,41.76606163,
-13788551.6,5143230.392,141,PCORP,,CEC,SUBSTATION,203306,Patrick'S Creek,115,95543,CA,Del Norte County,Unincorporated,-123.8646665,41.88140087,
-13821814.54,5125217.463,142,PCORP,,CEC,SUBSTATION,203295,Redwood,69,95531,CA,Del Norte County,Unincorporated,-124.1634726,41.76081304,
-13819137.45,5149773.258,143,PCORP,,CEC,SUBSTATION,203290,Simonson,,95567,CA,Del Norte County,Unincorporated,-124.1394239,41.92514595,
-13819265.64,5143830.691,144,PCORP,,CEC,SUBSTATION,203303,Smith River,,95567,CA,Del Norte County,Unincorporated,-124.1405754,41.88541567,
-13696202.35,5127249.639,145,PCORP,,CEC,SUBSTATION,203314,Steelhead,69,95568,CA,Siskiyou County,Unincorporated,-123.0350791,41.77442883,
-13809231.25,5092821.69,146,PCORP,,CEC,SUBSTATION,202983,Yurok,69,95548,CA,Del Norte County,Unincorporated,-124.0504349,41.54336778,
-13356764.03,4704102.607,147,Other,,CEC,SUBSTATION,309884,Meyers,,96150,CA,El Dorado County,Unincorporated,-119.9858527,38.87724089,
-13050947.24,4039496.36,150,SCE,,CEC,SUBSTATION,302035,San Bernardino,,92408,CA,San Bernardino County,Redlands,-117.2386538,34.07960733,San Bernardino
-13450277.08,4677850.178,151,PG&E,,CEC,SUBSTATION,302248,Diamond Springs,115,95667,CA,El Dorado County,Unincorporated,-120.8258948,38.69341229,
-13477132.56,4705200.788,153,PG&E,,CEC,SUBSTATION,303272,Flint,,95603,CA,Placer County,Auburn,-121.0671416,38.88492041,
-13467452.34,4669512.935,154,PG&E,,CEC,SUBSTATION,310069,Limestone,,95682,CA,El Dorado County,Unincorporated,-120.9801828,38.6349329,
-13471771.48,4709369.724,155,PG&E,,CEC,SUBSTATION,303981,Mt. Quarries,60,95614,CA,El Dorado County,Unincorporated,-121.0189822,38.91406597,
